Država,Porabljena količina vode na prebivalca (dnevno)
Afghanistan,2760
Albania,1177
Algeria,669
Angola,100
Antigua and Barbuda,361
Argentina,2480
Armenia,2676
Australia,1816
Austria,1144
Azerbaijan,3512
Bahrain,832
Bangladesh,657
Barbados,826
Belarus,419
Belgium,1522
Belize,1149
Benin,48
Bhutan,1349
Bolivia,571
Bosnia and Herzegovina,249
Botswana,247
Brazil,856
Brunei,887
Bulgaria,2149
Burkina Faso,161
Burundi,122
Cabo Verde,131
Cambodia,439
Cameroon,178
Canada,2722
Central African Republic,46
Chad,233
Chile,5880
China,1174
Colombia,737
Comoros,52
Congo,38
Costa Rica,1816
CÃ´te d'Ivoire,130
Croatia,409
Cuba,1688
Cyprus,702
Czech Republic (Czechia),425
Denmark,319
Djibouti,70
Dominica,796
Dominican Republic,1996
DR Congo,32
Ecuador,1962
Egypt,2048
El Salvador,966
Equatorial Guinea,68
Eritrea,614
Estonia,3585
Eswatini,2741
Ethiopia,271
Fiji,264
Finland,3414
France,1236
Gabon,260
Gambia,170
Georgia,1267
Germany,856
Ghana,137
Greece,2389
Grenada,338
Guatemala,681
Guinea,178
Guinea-Bissau,388
Guyana,5284
Haiti,410
Honduras,618
Hungary,1395
Iceland,2304
India,1677
Indonesia,2305
Iran,3638
Iraq,2745
Ireland,457
Israel,809
Italy,1546
Jamaica,1320
Japan,1741
Jordan,286
Kazakhstan,3397
Kenya,229
Kuwait,1215
Kyrgyzstan,4153
Laos,1630
Latvia,314
Lebanon,779
Lesotho,60
Liberia,122
Libya,2585
Lithuania,2680
Luxembourg,207
Madagascar,1883
Malawi,290
Malaysia,1188
Maldives,48
Mali,1016
Malta,378
Mauritania,1258
Mauritius,1599
Mexico,1940
Moldova,758
Monaco,423
Mongolia,417
Montenegro,697
Morocco,880
Mozambique,152
Myanmar,2010
Namibia,417
Nepal,979
Netherlands,1435
New Zealand,3277
Nicaragua,727
Niger,231
Nigeria,205
North Korea,972
North Macedonia,725
Norway,1761
Oman,1531
Pakistan,2653
Panama,823
Papua New Guinea,164
Paraguay,1121
Peru,1303
Philippines,2185
Poland,758
Portugal,2377
Puerto Rico,3063
Qatar,1474
Romania,883
Russia,1306
Rwanda,50
Saint Kitts & Nevis,909
Saint Lucia,701
Sao Tome & Principe,550
Saudi Arabia,2078
Senegal,581
Serbia,1810
Seychelles,420
Sierra Leone,106
Singapore,229
Slovakia,270
Slovenia,1179
Somalia,912
South Africa,777
South Korea,1672
South Sudan,175
Spain,1926
Sri Lanka,1755
St. Vincent & Grenadines,215
State of Palestine,215
Sudan,2041
Suriname,3214
Sweden,786
Switzerland,687
Syria,2441
Tajikistan,4460
Tanzania,393
Thailand,2340
Timor-Leste,3456
Togo,86
Trinidad and Tobago,753
Tunisia,1146
Turkey,1978
Turkmenistan,15445
Uganda,57
Ukraine,592
United Arab Emirates,2348
United Kingdom,350
United States,3732
Uruguay,3070
Uzbekistan,4778
Venezuela,2242
Vietnam,2772
Yemen,429
Zambia,404
Zimbabwe,764
